TAIP (ms),Respiratory Rate (breaths/min),I:E Ratio,Target Peak Pressure (cm H2O),Observed Peak Pressure (cm H2O),PEEP (cm H2O),Lung Compliance (mL / cm H2O),Airway Resistance (cm H2O / (L/s) ),Tidal Volume (mL),Flow (L/min)
0,20,2,20,16.2765324048759,5,10,1,162.757424147778,51.9792608617511
0,30,2,20,16.2070271755037,5,10,1,161.983783377521,52.0705584028963
0,12,2,20,14.520229872047,5,25,1,362.849228736802,52.8150740443301
0,20,2,20,16.2766758313892,5,10,1,162.758784560201,51.978501055945
0,30,2,20,16.206719771165,5,10,1,161.980546900296,52.0700852567331
0,12,2,20,14.5201930833805,5,25,1,362.848356600217,52.8159383150578
0,20,2,20,14.067750734729,5,25,1,350.44346878194,52.8954941311198
0,30,2,20,12.5813223087613,5,25,1,308.690182128369,53.0087266156735
0,12,2,20,13.697166032644,5,50,1,681.107008056135,55.3182752889184
0,20,2,20,11.5186281912913,5,50,1,559.552750939699,55.2785435942256
0,30,2,20,8.83150482709015,5,50,1,415.022277572013,55.169232324491
0,12,2,20,10.8863189028976,5,100,1,1050.02145283479,57.0036760354424
0,20,2,20,7.82558448798766,5,100,1,720.480066104765,56.7869642583801
0,30,2,20,5.81296344552295,5,100,1,505.664601070501,56.9262336058498
0,12,2,20,7.2934848637041,5,200,1,1324.4185549899,57.8277419529936
0,20,2,20,5.52223475284702,5,200,1,945.718664310746,58.9693564494168
0,30,2,20,5.72247517458779,5,200,1,965.849030830263,64.0634472992336
0,12,2,20,15.6675918734564,5,10,3,156.658473879593,47.4250698375655
0,20,2,20,15.6015466956606,5,10,3,155.958372253527,47.4147943888258
0,30,2,20,15.4682960627613,5,10,3,154.229460588014,47.5153882681854
0,12,2,20,14.3819421786103,5,25,3,358.800655952129,48.4296408646781
0,20,2,20,13.7846147017936,5,25,3,339.239163555779,48.5024086004626
0,30,2,20,12.3429469239475,5,25,3,289.733837620134,48.5350266473168
0,12,2,20,13.4747338043399,5,50,3,658.552839173287,50.4933378840059
0,20,2,20,11.4573449916117,5,50,3,522.263503153704,50.3877787935353
0,30,2,20,9.18678039728962,5,50,3,381.869672655484,50.1885859589928
0,12,2,20,10.9050097536512,5,100,3,973.545300470336,51.6294867292466
0,20,2,20,8.40317727003336,5,100,3,663.553161124522,51.351184402795
