Rise Time (ms),Resp. Rate (breaths/min),I:E Ratio,Target Peak Pressure (cm H2O),Observed Peak Pressure (cm H2O),PEEP (cm H2O),Lung Compliance (mL / cm H2O),Airway Resistance (cm H2O / (L/s) ),Tidal Volume (mL)
0,20,2,20,14.9566,5,10,1,149.5668
0,30,2,20,14.9772,5,10,1,149.7573
0,12,2,20,14.5412,5,25,1,363.4004
0,20,2,20,14.2173,5,25,1,354.6366
0,30,2,20,13.2946,5,25,1,328.6002
0,12,2,20,13.8218,5,50,1,688.0856
0,20,2,20,12.0816,5,50,1,590.405
0,30,2,20,9.7726,5,50,1,465.4839
0,12,2,20,11.2308,5,100,1,1.09E+03
0,20,2,20,8.376,5,100,1,779.3572
0,30,2,20,6.4923,5,100,1,577.4269
0,12,2,20,7.5927,5,200,1,1.39E+03
0,20,2,20,5.7236,5,200,1,989.5661
0,30,2,20,5.6835,5,200,1,976.2109
0,12,2,20,14.9154,5,10,3,149.1469
0,20,2,20,14.915,5,10,3,149.1301
0,30,2,20,14.8987,5,10,3,148.8486
0,12,2,20,14.4138,5,25,3,359.7321
0,20,2,20,13.9645,5,25,3,345.4003
0,30,2,20,12.9886,5,25,3,311.4871
0,12,2,20,13.61,5,50,3,667.9075
0,20,2,20,11.9408,5,50,3,553.4197
0,30,2,20,9.9659,5,50,3,428.9371
0,12,2,20,11.1959,5,100,3,1.01E+03
0,20,2,20,8.8495,5,100,3,717.0741
0,30,2,20,7.4736,5,100,3,548.2914
0,12,2,20,8.2707,5,200,3,1.29E+03
0,20,2,20,7.0568,5,200,3,1.00E+03
0,30,2,20,7.3455,5,200,3,1.05E+03
0,12,2,20,14.8932,5,10,5,148.9084
0,20,2,20,14.859,5,10,5,148.5007
0,30,2,20,14.7768,5,10,5,147.2815
0,12,2,20,14.3463,5,25,5,357.1628
0,20,2,20,13.7989,5,25,5,336.6685
0,30,2,20,12.8171,5,25,5,296.032
0,12,2,20,13.4296,5,50,5,645.2185
0,20,2,20,11.8665,5,50,5,518.2324
0,30,2,20,10.2063,5,50,5,396.9105
0,12,2,20,11.2236,5,100,5,938.7292
0,20,2,20,9.3183,5,100,5,666.9253
0,30,2,20,8.3312,5,100,5,533.6817
0,12,2,20,8.8897,5,200,5,1.21E+03
0,20,2,20,8.3173,5,200,5,1.05E+03
0,30,2,20,8.618,5,200,5,1.12E+03
0,12,2,20,14.6187,5,10,10,146.0571
0,20,2,20,14.4721,5,10,10,144.1231
0,30,2,20,14.2315,5,10,10,139.7219
0,12,2,20,14.1677,5,25,10,347.9966
0,20,2,20,13.4759,5,25,10,311.4399
0,30,2,20,12.5827,5,25,10,259.2083
0,12,2,20,13.1115,5,50,10,583.8385
0,20,2,20,11.8767,5,50,10,441.8277
0,30,2,20,10.8637,5,50,10,338.4418
0,12,2,20,11.4598,5,100,10,794.4041
0,20,2,20,10.4069,5,100,10,593.7767
0,30,2,20,10.0789,5,100,10,548.4427
0,12,2,20,10.2232,5,200,10,1.13E+03
0,20,2,20,10.531,5,200,10,1.18E+03
0,30,2,20,10.7206,5,200,10,1.26E+03
0,12,2,20,14.5364,5,10,20,144.698
0,20,2,20,14.2699,5,10,20,139.0988
0,30,2,20,13.8944,5,10,20,127.6919
0,12,2,20,13.8564,5,25,20,320.0841
0,20,2,20,13.1554,5,25,20,259.194
0,30,2,20,12.5549,5,25,20,202.8462
