TAIP (ms),Respiratory Rate (breaths/min),I:E Ratio,Target Peak Pressure (cm H2O),Observed Peak Pressure (cm H2O),PEEP (cm H2O),Lung Compliance (mL / cm H2O),Airway Resistance (cm H2O / (L/s) ),Tidal Volume (mL),,I am working on the scopes tonight
0,20,2,20,14.9566,5,10,1,149.5668,,
0,30,2,20,14.9772,5,10,1,149.7573,,
0,12,2,20,14.5412,5,25,1,363.4004,,
0,20,2,20,14.2173,5,25,1,354.6366,,
0,30,2,20,13.2946,5,25,1,328.6002,,
0,12,2,20,13.8218,5,50,1,688.0855,,
0,20,2,20,12.0816,5,50,1,590.405,,
0,30,2,20,9.7726,5,50,1,465.4839,,
0,12,2,20,11.2308,5,100,1,1.09E+03,,
0,20,2,20,8.376,5,100,1,779.3571,,
0,30,2,20,6.4923,5,100,1,577.4269,,
0,12,2,20,7.5894,5,200,1,1.39E+03,,
0,20,2,20,5.7224,5,200,1,989.3163,,
0,30,2,20,5.6827,5,200,1,976.0441,,
0,12,2,20,14.9154,5,10,3,149.1469,,
0,20,2,20,14.915,5,10,3,149.1301,,
0,30,2,20,14.8987,5,10,3,148.8486,,
0,12,2,20,14.4138,5,25,3,359.7321,,
0,20,2,20,13.9645,5,25,3,345.4003,,
0,30,2,20,12.9886,5,25,3,311.4871,,
0,12,2,20,13.61,5,50,3,667.9074,,
0,20,2,20,11.9408,5,50,3,553.4197,,
0,30,2,20,9.9659,5,50,3,428.9371,,
0,12,2,20,11.1958,5,100,3,1.01E+03,,
0,20,2,20,8.8495,5,100,3,717.0733,,
0,30,2,20,7.4736,5,100,3,548.2913,,
0,12,2,20,8.2573,5,200,3,1.28E+03,,
0,20,2,20,7.0497,5,200,3,998.432,,
0,30,2,20,7.3417,5,200,3,1.05E+03,,
0,12,2,20,14.8932,5,10,5,148.9084,,
0,20,2,20,14.859,5,10,5,148.5007,,
0,30,2,20,14.7768,5,10,5,147.2815,,
0,12,2,20,14.3463,5,25,5,357.1628,,
0,20,2,20,13.7989,5,25,5,336.6685,,
0,30,2,20,12.8171,5,25,5,296.032,,
0,12,2,20,13.4296,5,50,5,645.2185,,
0,20,2,20,11.8665,5,50,5,518.2323,,
0,30,2,20,10.2063,5,50,5,396.9105,,
0,12,2,20,11.2234,5,100,5,938.6907,,
0,20,2,20,9.3182,5,100,5,666.9166,,
0,30,2,20,8.3312,5,100,5,533.6797,,
0,12,2,20,8.8579,5,200,5,1.20E+03,,
0,20,2,20,8.2975,5,200,5,1.05E+03,,
0,30,2,20,8.6089,5,200,5,1.11E+03,,
0,12,2,20,14.6187,5,10,10,146.0571,,
0,20,2,20,14.4721,5,10,10,144.1231,,
0,30,2,20,14.2315,5,10,10,139.7219,,
0,12,2,20,14.1677,5,25,10,347.9966,,
0,20,2,20,13.4759,5,25,10,311.4399,,
0,30,2,20,12.5827,5,25,10,259.2083,,
0,12,2,20,13.1115,5,50,10,583.8381,,
0,20,2,20,11.8767,5,50,10,441.8276,,
0,30,2,20,10.8637,5,50,10,338.4418,,
0,12,2,20,11.4569,5,100,10,793.8059,,
0,20,2,20,10.4056,5,100,10,593.5398,,
0,30,2,20,10.0784,5,100,10,548.3657,,
0,12,2,20,10.1128,5,200,10,1.09E+03,,
0,20,2,20,10.4493,5,200,10,1.15E+03,,
0,30,2,20,10.6754,5,200,10,1.24E+03,,
0,12,2,20,14.5364,5,10,20,144.698,,
